Time (s),Temperature (F)
5.0,92.53
10.0,92.41
15.0,92.19
20.0,92.03
25.0,90.96
30.0,91.15
35.0,91.04
40.0,90.96
45.0,90.82
50.0,90.67
55.0,90.53
60.0,90.5
65.0,90.59
70.0,90.4
75.0,90.25
80.0,90.65
85.0,90.5
90.0,90.45
95.0,90.42
100.0,90.38
105.0,90.32
110.0,90.38
115.0,90.38
120.0,90.44
125.0,90.4
130.0,90.41
135.0,90.4
140.0,90.43
145.0,90.38
150.0,90.56
155.0,90.54
160.0,90.56
165.0,90.57
170.0,90.56
175.0,90.74
180.0,91.21
185.0,90.99
190.0,90.92
195.0,90.86
200.0,90.84
205.0,90.81
210.0,90.8
215.0,90.8
220.0,90.75
225.0,90.8
230.0,90.82
235.0,90.85
240.0,90.87
245.0,90.88
250.0,91.69
255.0,91.96
260.0,91.95
265.0,92.03
270.0,92.05
275.0,92.11
280.0,92.09
285.0,92.2
290.0,92.14
295.0,92.22
300.0,92.23
305.0,92.35
310.0,92.39
315.0,92.49
320.0,92.48
325.0,92.57
330.0,92.66
335.0,92.63
340.0,92.64
345.0,92.71
350.0,92.83
355.0,92.83
360.0,92.85
365.0,92.86
370.0,92.92
375.0,92.95
380.0,92.98
385.0,93.05
390.0,93.07
395.0,93.08
400.0,93.13
405.0,93.18
410.0,93.21
415.0,93.26
420.0,93.33
425.0,93.39
430.0,93.41
435.0,93.47
440.0,93.45
445.0,93.51
450.0,93.54
455.0,93.56
460.0,93.65
465.0,93.69
470.0,93.69
475.0,93.75
480.0,93.79
485.0,93.85
490.0,93.86
495.0,93.93
500.0,93.91
505.0,94.02
510.0,94.05
515.0,94.06
520.0,94.1
525.0,94.11
530.0,94.16
535.0,94.21
540.0,94.27
545.0,94.25
550.0,94.27
555.0,94.29
560.0,94.34
565.0,94.38
570.0,94.4
575.0,94.46
580.0,94.46
585.0,94.51
590.0,94.55
595.0,94.59
600.0,94.61
