time_s,object_temperature_F
21.434,90.17
22.516,90.00
23.599,90.34
24.682,90.34
25.765,90.51
26.848,90.34
27.931,90.86
29.014,90.69
30.097,90.69
31.180,90.86
32.263,91.03
33.346,91.03
34.429,91.03
35.512,91.03
36.595,91.20
37.678,91.20
38.761,91.20
39.844,91.03
40.927,91.20
42.010,91.20
43.093,91.03
44.176,91.54
45.259,91.20
46.342,91.20
47.425,91.20
48.509,91.37
49.592,91.89
50.675,90.69
51.758,91.72
52.841,91.37
53.924,91.89
55.007,91.37
56.090,91.37
57.174,91.72
58.257,91.37
59.363,91.72
60.445,91.54
61.528,91.37
62.610,91.72
63.693,91.72
64.776,91.89
65.858,91.72
66.940,91.89
68.022,91.89
69.105,91.72
70.188,91.72
71.270,92.76
72.352,91.72
73.434,91.89
74.517,92.06
75.599,91.54
76.681,91.89
77.764,92.06
78.847,92.06
79.930,92.06
81.013,92.06
82.095,92.23
83.177,91.89
84.260,92.06
85.342,91.89
86.424,92.41
87.506,91.89
88.588,92.06
89.671,92.06
90.754,91.89
91.837,92.06
92.919,92.23
94.001,92.23
95.083,92.06
96.166,92.23
97.248,92.23
98.330,92.06
99.427,92.23
100.509,92.23
101.591,92.41
102.673,92.06
103.755,92.23
104.837,92.06
105.919,91.89
107.001,92.06
108.083,92.06
109.165,92.23
110.247,92.76
111.330,91.89
112.412,92.23
113.495,91.89
114.577,92.06
115.659,92.41
116.741,92.23
117.823,92.06
118.905,92.23
119.988,92.23
121.070,92.41
122.152,92.23
123.234,92.23
124.316,92.41
125.398,92.06
126.480,92.41
127.564,92.58
128.647,92.58
129.729,92.76
130.812,92.41
131.895,92.76
132.977,92.58
134.060,92.76
135.142,92.58
136.240,92.58
137.323,92.58
138.405,92.93
139.488,92.76
140.570,92.76
141.652,92.76
142.734,92.76
143.817,92.93
144.899,92.76
145.981,92.76
147.063,92.93
148.145,92.93
149.227,92.76
150.309,92.76
151.391,92.58
152.473,92.58
153.555,92.76
154.637,92.76
155.719,92.76
156.801,92.58
157.883,92.58
158.965,92.76
160.047,92.76
161.129,92.76
162.211,92.58
163.293,92.58
164.375,92.41
165.457,92.58
166.539,92.58
167.621,92.41
168.703,92.58
169.785,92.76
170.867,92.76
171.949,92.41
173.046,92.58
174.128,92.23
175.210,92.41
176.292,92.23
177.374,92.93
178.456,92.58
179.538,92.41
180.620,92.58
181.702,92.41
182.784,92.58
183.866,92.41
184.948,92.41
186.030,92.58
187.112,92.23
188.194,92.23
189.276,92.23
190.358,92.23
191.440,92.23
192.522,92.41
193.604,91.72
194.686,92.23
195.769,92.06
196.858,92.06
197.941,92.06
199.023,92.23
200.105,92.23
201.187,92.58
202.269,92.06
203.351,92.23
204.433,92.23
205.515,92.23
206.597,92.23
207.679,91.37
208.761,92.23
209.859,92.23
210.941,92.06
212.023,92.23
213.105,90.34
214.187,92.41
215.269,92.23
216.351,91.89
217.433,91.37
218.515,92.23
219.597,93.80
220.679,92.23
221.762,92.06
222.844,92.41
223.926,92.06
225.009,92.06
226.091,91.89
227.173,92.06
228.255,92.23
229.337,92.23
230.419,92.06
231.501,92.06
232.583,92.06
233.665,91.89
234.747,92.23
235.829,92.41
236.911,92.06
237.995,91.89
239.078,92.06
240.161,92.06
241.243,91.72
242.325,92.06
243.407,92.23
244.490,92.23
245.572,92.06
246.669,92.06
247.752,91.89
248.835,92.06
249.917,92.06
250.999,92.23
252.082,92.06
253.165,92.41
254.248,92.23
255.330,92.23
256.412,92.23
257.494,92.06
258.576,92.23
259.658,93.80
260.740,92.23
261.822,92.41
262.905,92.23
263.988,92.06
265.070,92.23
266.153,92.41
267.235,92.23
268.317,92.41
269.399,92.06
270.481,92.41
271.563,92.23
272.645,92.58
273.727,92.58
274.809,92.41
275.891,92.76
276.973,92.58
278.055,92.76
279.137,92.76
280.219,92.93
281.301,92.76
282.384,92.76
283.481,92.76
284.563,92.76
285.645,92.76
286.727,92.76
287.809,92.76
288.891,92.93
289.973,92.76
291.055,92.76
292.137,92.58
293.219,92.93
294.301,92.76
295.383,92.93
296.466,92.58
297.549,92.76
298.631,92.58
299.714,92.93
300.796,90.17
301.878,92.76
302.961,92.41
304.043,92.58
305.125,92.41
306.208,92.58
307.290,92.58
308.373,92.58
309.455,92.58
310.537,92.58
311.620,92.76
312.703,92.06
313.786,92.76
314.868,92.58
315.950,92.58
317.033,92.58
318.115,92.23
319.198,89.15
320.281,92.76
321.352,92.76
322.436,92.58
323.518,92.41
324.600,92.58
325.682,92.76
326.764,91.54
327.846,92.76
328.928,92.76
330.010,92.06
331.092,92.93
332.174,92.58
333.263,92.58
334.346,92.76
335.428,91.89
336.510,92.76
337.592,92.58
338.674,92.58
339.756,92.76
340.838,92.76
341.921,92.76
343.003,92.58
344.085,92.58
345.167,92.76
346.249,92.58
347.331,92.76
348.413,92.93
349.495,92.93
350.577,92.93
351.660,92.76
352.743,92.76
353.825,92.76
354.907,92.93
355.989,92.58
357.072,92.58
358.170,94.86
359.252,92.93
360.335,92.76
361.418,92.76
362.500,92.76
363.582,92.76
364.664,92.58
365.747,92.76
366.829,92.41
367.911,92.76
368.993,92.76
370.075,92.41
371.157,92.93
372.240,92.93
373.323,92.58
374.406,92.76
375.489,92.93
376.571,93.80
377.654,92.93
378.736,93.28
379.819,92.93
380.902,93.10
381.984,93.28
383.066,93.28
384.149,92.93
385.231,93.10
386.313,93.10
387.395,93.28
388.477,93.28
389.559,93.10
390.641,93.10
391.723,93.45
392.805,93.10
393.887,93.28
394.984,92.93
396.066,93.45
397.148,93.28
398.230,93.45
399.312,93.28
400.394,93.28
401.476,93.28
402.558,93.45
403.640,93.28
404.722,93.28
405.804,93.45
406.886,93.28
407.968,93.45
409.050,93.10
410.132,93.45
411.214,93.28
412.297,93.28
413.379,93.28
414.461,93.28
415.543,93.10
416.625,93.45
417.707,93.28
418.789,93.45
419.871,93.45
420.953,93.28
422.035,93.10
423.117,93.45
424.199,93.45
425.281,93.45
426.364,93.45
427.446,93.45
428.528,93.45
429.610,93.10
430.692,93.45
431.789,93.45
432.871,93.45
433.953,93.45
435.035,93.63
436.117,93.80
437.199,93.45
438.281,93.63
439.363,93.45
440.445,93.45
441.527,93.63
442.609,93.28
443.691,93.45
444.773,93.63
445.855,93.45
446.937,93.63
448.019,93.80
449.101,93.80
450.183,93.63
451.265,93.45
452.347,93.63
453.429,92.93
454.511,93.45
455.593,93.45
456.675,93.63
457.757,93.63
458.839,92.23
459.921,93.80
461.003,93.63
462.086,93.28
463.168,93.63
464.250,93.63
465.332,93.45
466.414,93.28
467.496,93.45
468.593,93.45
469.683,93.45
470.765,93.63
471.847,93.45
472.930,93.80
474.012,93.28
475.095,93.10
476.177,93.28
477.260,93.45
478.344,93.28
479.427,93.63
480.509,93.45
481.591,93.63
482.673,93.63
483.755,93.28
484.838,93.28
485.921,93.45
487.003,93.45
488.086,93.28
489.169,93.63
490.251,93.63
491.335,93.80
492.417,93.63
493.500,93.63
494.583,93.63
495.665,93.63
496.748,93.63
497.830,93.63
498.913,93.45
499.996,93.45
501.079,93.45
502.161,93.80
503.244,93.45
504.326,93.63
505.423,93.63
506.505,93.28
507.587,93.45
508.669,93.28
509.751,93.63
510.833,93.10
511.915,94.68
512.997,93.45
514.079,93.28
515.161,95.39
516.243,93.28
517.325,93.28
518.407,93.45
519.489,93.10
520.572,93.10
521.654,93.28
522.736,93.28
523.818,93.28
524.900,93.10
525.982,93.10
527.065,93.10
528.147,93.28
529.229,93.45
530.311,93.28
531.393,93.10
532.475,92.93
533.557,93.10
534.639,93.10
535.721,92.93
536.803,92.93
537.886,92.93
538.968,92.76
540.051,92.76
541.134,92.76
542.232,92.93
543.315,92.76
544.398,92.76
545.480,92.41
546.562,92.58
547.645,92.58
548.727,92.76
549.809,92.76
550.892,91.20
551.974,93.10
553.057,91.03
554.139,91.20
555.222,91.37
556.304,91.72
557.386,91.72
558.469,91.72
559.551,91.89
560.633,92.23
561.715,92.23
562.797,92.06
563.879,91.89
564.961,91.89
566.043,92.06
567.126,92.23
568.208,102.74
569.290,93.98
570.372,92.06
571.454,92.06
572.536,91.72
573.618,91.72
574.700,91.72
575.782,93.63
576.864,93.63
577.946,93.80
579.042,92.76
580.124,93.80
581.207,94.15
582.289,94.15
583.371,94.15
584.453,93.98
585.536,93.98
586.619,94.15
587.701,94.33
588.783,94.51
589.866,94.68
590.948,94.33
592.030,92.93
593.112,93.45
594.194,94.15
595.276,94.15
596.358,94.51
597.440,94.51
598.523,94.33
599.605,94.33
600.687,94.33
601.769,94.15
602.851,94.33
603.933,94.33
605.015,94.33
606.099,94.15
607.188,93.80
608.271,102.17
609.353,93.98
610.435,92.76
611.518,498.63
612.600,92.93
613.682,665.54
614.764,92.41
615.862,554.17
616.944,92.93
618.027,554.17
619.109,91.37
620.191,92.06
621.274,92.06
622.357,91.89
623.439,94.68
624.522,94.86
625.605,95.04
626.687,95.21
627.769,95.21
628.851,95.21
629.933,95.39
631.015,95.39
632.097,95.39
633.179,95.21
634.261,95.21
635.343,95.04
636.425,94.15
637.507,92.41
638.590,92.58
639.672,92.41
640.754,93.98
641.836,97.54
642.918,92.23
644.000,92.23
645.082,93.28
646.164,93.80
647.246,94.33
648.328,94.68
649.410,95.21
650.492,95.57
651.574,95.75
652.671,96.10
653.753,95.93
654.835,95.93
655.917,95.75
656.999,96.28
658.081,96.46
659.163,96.28
660.245,96.46
661.327,96.46
662.409,96.64
663.491,96.28
664.573,95.39
665.655,95.21
666.737,95.93
667.819,95.93
668.901,95.93
669.983,96.10
671.065,96.46
672.147,96.82
673.229,96.64
674.311,96.64
675.393,92.76
676.475,97.18
677.557,97.18
678.639,97.18
679.721,97.36
680.803,97.18
681.885,97.18
682.967,97.00
684.049,97.18
685.131,97.18
686.213,97.54
687.295,97.18
688.377,97.18
689.475,97.00
690.558,97.18
691.640,97.36
692.722,96.82
693.804,97.36
694.886,97.54
695.968,97.00
697.050,97.73
698.132,97.54
699.214,97.18
700.296,97.36
701.378,92.58
702.460,93.98
703.542,93.98
704.624,93.98
705.706,93.98
706.788,94.51
707.870,95.21
708.952,95.04
710.034,95.04
711.116,95.21
712.198,95.21
713.280,95.39
714.362,95.04
715.444,95.21
716.526,90.17
717.608,84.98
718.690,82.69
719.772,80.59
720.855,79.47
721.938,78.35
723.020,77.40
724.104,76.76
725.186,76.13
726.268,75.66
727.365,75.18
728.448,75.34
729.532,74.56
730.614,74.40
731.697,74.08
732.779,74.24
733.862,74.08
734.945,73.77
736.028,73.77
737.110,73.61
738.193,73.46
739.275,73.46
740.357,74.87
741.440,88.98
742.524,83.83
743.613,96.82
744.695,88.31
745.777,86.14
746.860,86.14
747.942,84.32
749.024,84.82
750.106,87.14
751.188,90.51
752.270,92.41
753.352,94.33
754.435,95.39
755.517,101.98
756.599,90.69
757.681,90.51
758.763,89.83
759.845,86.14
760.927,86.97
762.009,89.66
763.091,89.32
764.189,90.00
765.271,91.03
766.353,91.03
767.435,87.64
768.517,84.98
769.599,84.82
770.681,86.30
771.762,87.30
772.843,87.81
773.924,87.97
775.005,88.31
776.086,88.48
777.167,88.48
778.248,88.65
779.329,91.03
780.410,95.57
781.491,90.00
782.572,91.54
783.653,89.66
784.734,89.66
785.815,90.51
786.896,88.31
787.977,89.15
789.058,90.17
790.139,91.37
791.220,90.69
792.301,86.64
793.382,85.15
794.463,83.02
795.544,81.72
796.625,80.27
797.706,88.48
798.787,91.20
799.868,87.97
800.963,87.30
802.044,84.49
803.125,82.69
804.206,81.23
805.287,80.27
806.368,78.99
807.449,77.71
808.530,76.76
809.611,76.60
810.692,76.29
811.773,75.97
812.854,75.03
813.935,75.66
815.014,75.18
816.093,74.40
817.172,82.37
818.251,90.00
819.330,94.51
820.409,94.86
821.488,95.75
822.567,90.00
823.646,91.54
824.725,94.33
825.804,93.98
826.885,91.72
827.966,96.46
829.047,95.39
830.128,95.39
831.209,94.33
832.290,88.98
833.371,90.34
834.452,90.34
835.533,92.76
836.614,92.06
837.710,92.06
838.791,91.54
839.872,91.54
840.953,92.58
842.034,92.06
843.115,91.54
844.196,91.54
845.277,91.20
846.358,91.37
847.439,91.20
848.520,91.37
849.601,91.54
850.682,91.37
851.763,91.54
852.844,89.32
