time_s,object_resistance_R
180.126,14299.29
181.208,14710.14
182.291,14710.14
183.373,14473.68
184.455,14650.6
185.538,14830.1
186.621,14591.35
187.704,14591.35
188.787,14532.37
189.87,14650.6
190.953,14769.98
192.051,14769.98
193.133,14769.98
194.215,14769.98
195.297,14769.98
196.38,14591.35
197.463,14650.6
198.545,14769.98
199.628,14532.37
200.71,14710.14
201.794,14650.6
202.878,14710.14
203.961,14650.6
205.044,14710.14
206.127,14769.98
207.209,14591.35
208.292,14769.98
209.375,14650.6
210.458,14650.6
211.541,14830.1
212.623,14591.35
213.706,14769.98
214.788,14591.35
215.87,14830.1
216.952,14710.14
218.034,14473.68
219.117,14710.14
220.2,14591.35
221.283,14769.98
222.366,14710.14
223.464,14769.98
224.547,14710.14
225.63,14532.37
226.712,14532.37
227.795,14650.6
228.877,14591.35
229.959,14650.6
231.042,14710.14
232.125,14650.6
233.207,14473.68
234.29,14710.14
235.372,14591.35
236.454,14769.98
237.536,14650.6
238.618,14591.35
239.701,14591.35
240.784,14830.1
241.866,14650.6
242.949,14769.98
244.031,14710.14
245.114,14890.51
246.196,14650.6
247.279,14710.14
248.362,14830.1
249.445,14650.6
250.527,14532.37
251.609,14532.37
252.692,14532.37
253.789,14710.14
254.872,14710.14
255.954,14591.35
257.036,14591.35
258.119,14650.6
259.202,14650.6
260.285,14532.37
261.367,14650.6
262.45,14650.6
263.533,14532.37
264.617,14473.68
265.706,14890.51
266.789,14769.98
267.872,14591.35
268.955,14650.6
270.038,14710.14
271.121,14532.37
272.203,14591.35
273.287,14769.98
274.369,14650.6
275.452,14650.6
276.534,14591.35
277.616,14710.14
278.698,14591.35
279.78,14710.14
280.863,14769.98
281.945,14710.14
283.028,14591.35
284.126,14650.6
285.209,14710.14
286.292,14650.6
287.375,14890.51
288.457,14650.6
289.54,14591.35
290.622,14532.37
291.705,14473.68
292.788,15511.22
293.871,14591.35
294.953,14532.37
296.036,14532.37
297.119,14650.6
298.202,14532.37
299.285,14473.68
300.368,14591.35
301.45,14650.6
302.533,14591.35
303.616,14591.35
304.699,14532.37
305.782,14532.37
306.865,14532.37
307.948,14532.37
309.031,14473.68
310.115,14591.35
311.199,14591.35
312.283,14473.68
313.366,14591.35
314.449,14591.35
315.546,14591.35
316.628,14415.27
317.71,14415.27
318.793,14473.68
319.875,14591.35
320.958,14591.35
322.041,14532.37
323.125,14591.35
324.207,14591.35
325.29,14591.35
326.372,14532.37
327.454,14473.68
328.537,14650.6
329.62,14473.68
330.703,14591.35
331.786,14532.37
332.868,14532.37
333.951,14591.35
335.034,14591.35
336.116,14532.37
337.199,14650.6
338.281,14769.98
339.364,14591.35
340.446,14591.35
341.528,14532.37
342.611,14650.6
343.694,14710.14
344.776,14650.6
345.874,14591.35
346.956,14650.6
348.039,14650.6
349.122,14650.6
350.204,14650.6
351.287,14710.14
352.37,14710.14
353.452,14769.98
354.535,14650.6
355.617,14710.14
356.7,14830.1
357.782,14769.98
358.865,14710.14
359.947,14769.98
361.029,14710.14
362.111,14830.1
363.194,14769.98
364.277,14830.1
365.36,14830.1
366.443,14830.1
367.526,14951.22
368.61,15197.05
369.694,14830.1
370.777,14890.51
371.86,14951.22
372.944,14951.22
374.027,14951.22
375.11,14951.22
376.193,14951.22
377.29,14890.51
378.373,14830.1
379.456,14951.22
380.539,14890.51
381.622,14890.51
382.705,14951.22
383.788,14830.1
384.871,14951.22
385.954,14830.1
387.037,14830.1
388.12,14951.22
389.203,14769.98
390.286,14890.51
391.369,14890.51
392.452,14830.1
393.535,14890.51
394.618,14890.51
395.7,14951.22
396.783,14890.51
397.865,14951.22
398.947,14951.22
400.029,14890.51
401.113,14890.51
402.202,14890.51
403.285,14890.51
404.368,14951.22
405.45,14890.51
406.532,15012.23
407.631,15012.23
408.714,14890.51
409.797,14890.51
410.879,14951.22
411.962,14890.51
413.045,14890.51
414.128,14830.1
415.211,14951.22
416.294,14830.1
417.376,14830.1
418.458,14830.1
419.54,14830.1
420.623,14830.1
421.706,14830.1
422.788,14890.51
423.872,14890.51
424.955,14890.51
426.038,14890.51
427.121,14890.51
