time_s,object_temp_C
0.974,35.43
2.058,35.35
3.142,35.23
4.226,35.13
5.311,35.23
6.395,35.19
7.479,35.31
8.563,35.23
9.648,35.15
10.732,35.19
11.816,35.07
12.901,35.09
13.986,35.05
15.071,34.97
16.155,34.97
17.240,34.97
18.325,34.91
19.409,34.93
20.493,34.89
21.578,34.85
22.662,34.91
23.746,35.01
24.830,34.99
25.915,34.97
27.000,34.81
28.084,34.81
29.168,34.77
30.252,34.85
31.337,34.69
32.422,34.71
33.506,34.89
34.591,34.91
35.675,34.93
36.759,34.93
37.844,34.97
38.929,34.91
40.029,34.97
41.113,35.05
42.197,34.99
43.281,34.93
44.365,35.05
45.449,34.99
46.533,34.93
47.616,34.97
48.700,35.05
49.783,35.09
50.867,35.05
51.951,35.05
53.035,35.09
54.119,35.15
55.211,35.15
56.295,35.19
57.379,35.13
58.462,35.15
59.546,35.15
60.630,35.13
61.714,35.19
62.797,35.23
63.881,35.35
64.965,35.37
66.049,35.37
67.132,35.31
68.216,35.35
69.300,35.37
70.384,35.31
71.468,35.23
72.552,35.31
73.635,35.31
74.718,35.15
75.802,35.29
76.886,34.71
77.970,34.63
79.054,34.99
80.152,35.15
81.236,35.15
82.320,35.19
83.404,34.81
84.488,35.01
85.572,35.13
86.655,35.09
87.739,35.19
88.822,35.15
89.906,35.21
90.990,35.13
92.073,35.19
93.156,35.13
94.240,35.21
95.323,35.21
96.406,35.21
97.490,nan
98.798,35.19
99.881,nan
100.964,35.23
102.048,nan
103.131,35.21
104.215,35.15
105.299,35.15
106.383,35.13
107.467,35.27
108.551,35.19
109.634,35.21
110.717,nan
111.800,35.13
112.884,35.21
113.967,35.19
115.050,35.29
116.134,35.29
117.218,35.35
118.302,35.27
119.402,35.31
120.485,35.31
121.568,35.37
122.652,35.37
123.736,35.27
124.819,35.23
125.903,35.19
126.986,35.15
128.069,35.13
129.153,35.21
130.237,35.31
131.321,35.31
132.405,35.31
133.489,35.23
134.573,35.27
135.656,35.21
136.739,35.27
137.822,35.23
138.905,35.23
139.989,35.21
141.072,35.27
142.155,35.27
143.239,35.27
144.323,35.27
145.407,35.23
146.491,35.21
147.574,35.23
148.657,35.23
149.741,35.27
150.825,35.21
151.909,35.27
152.992,35.21
154.075,35.27
155.159,35.21
156.258,35.09
157.342,35.01
158.426,35.15
159.510,35.15
160.594,35.23
161.677,35.23
162.761,35.27
163.846,34.97
164.930,34.99
166.014,35.21
167.098,35.31
168.182,35.29
169.265,35.23
170.349,35.31
171.433,35.27
172.516,35.13
173.599,35.29
174.683,35.37
175.767,35.37
176.850,35.35
177.934,35.37
179.018,35.37
180.101,35.37
181.185,35.39
182.268,35.43
183.351,35.45
184.435,35.45
185.518,35.51
186.602,35.43
187.685,35.45
188.769,35.45
189.853,35.45
190.936,35.47
192.021,35.55
193.127,35.53
194.211,35.59
195.295,35.55
196.379,35.61
197.463,35.69
198.547,35.83
199.630,35.77
200.714,35.71
201.798,35.71
202.882,35.81
203.966,35.81
205.050,35.63
206.134,35.67
207.218,35.75
208.302,35.75
209.385,35.81
210.469,35.83
211.553,35.75
212.637,35.77
213.721,35.77
214.805,35.81
215.889,35.83
216.972,35.81
218.056,35.89
219.139,35.75
220.223,35.85
221.307,35.83
