Time (s),Temperature (F)
180.0,87.49
185.0,87.52
190.0,87.61
195.0,87.57
200.0,87.62
205.0,87.58
210.0,87.59
215.0,87.67
220.0,87.7
225.0,87.76
230.0,87.76
235.0,87.84
240.0,87.85
245.0,87.9
250.0,87.91
255.0,87.96
260.0,88.01
265.0,88.04
270.0,88.16
275.0,88.24
280.0,88.27
285.0,88.3
290.0,88.32
295.0,88.38
300.0,88.48
305.0,88.49
310.0,88.55
315.0,88.6
320.0,88.63
325.0,88.72
330.0,88.76
335.0,88.85
340.0,88.88
345.0,88.95
350.0,89.0
355.0,89.04
360.0,89.07
365.0,89.18
370.0,89.25
375.0,89.35
380.0,89.39
385.0,89.44
390.0,89.52
395.0,89.53
400.0,89.56
405.0,89.65
410.0,89.74
415.0,89.79
420.0,89.84
425.0,89.88
430.0,89.94
435.0,90.0
440.0,90.04
445.0,90.14
450.0,90.18
455.0,90.24
460.0,90.31
465.0,90.34
470.0,90.33
475.0,90.38
480.0,90.43
485.0,90.51
490.0,90.56
495.0,90.61
500.0,90.69
505.0,90.68
510.0,90.7
515.0,90.78
520.0,90.74
525.0,90.86
530.0,90.88
535.0,90.91
540.0,91.0
545.0,91.02
550.0,91.07
555.0,91.12
560.0,91.19
565.0,91.16
570.0,91.16
575.0,91.23
580.0,91.25
585.0,91.28
590.0,91.33
595.0,91.35
600.0,91.37
605.0,91.39
610.0,91.44
615.0,91.44
620.0,91.52
625.0,91.54
630.0,91.59
635.0,91.63
640.0,91.69
645.0,91.68
650.0,91.76
655.0,91.82
660.0,91.8
665.0,91.9
670.0,91.96
675.0,92.0
680.0,92.06
685.0,92.1
690.0,92.18
695.0,92.17
700.0,92.16
705.0,92.19
710.0,92.28
715.0,92.27
720.0,92.32
725.0,92.39
730.0,92.4
735.0,92.43
740.0,92.47
745.0,92.51
750.0,92.52
755.0,92.58
760.0,92.57
765.0,92.61
770.0,92.66
775.0,92.67
780.0,92.72
785.0,92.78
790.0,92.83
