Time (s),Temperature (F)
5.0,90.67
10.0,90.61
15.0,90.69
20.0,90.7
25.0,90.71
30.0,90.69
35.0,90.71
40.0,90.67
45.0,90.67
50.0,90.74
55.0,90.81
60.0,90.87
65.0,90.99
70.0,91.0
75.0,91.06
80.0,91.11
85.0,91.1
90.0,91.2
95.0,91.22
100.0,91.22
105.0,91.29
110.0,91.38
115.0,91.47
120.0,91.53
125.0,91.6
130.0,91.69
135.0,91.8
140.0,91.88
145.0,91.89
150.0,91.88
155.0,91.96
160.0,91.93
165.0,92.04
170.0,92.03
175.0,92.13
180.0,92.14
185.0,92.25
190.0,92.27
195.0,92.31
200.0,92.38
205.0,92.41
210.0,92.5
215.0,92.52
220.0,92.54
225.0,92.6
230.0,92.66
235.0,92.73
240.0,92.83
245.0,92.85
250.0,92.84
255.0,92.92
260.0,92.9
265.0,92.98
270.0,92.99
275.0,93.06
280.0,93.11
285.0,93.13
290.0,93.21
295.0,93.2
300.0,93.28
305.0,93.37
310.0,93.41
315.0,93.47
320.0,93.57
325.0,93.56
330.0,93.64
335.0,93.62
340.0,93.66
345.0,93.72
350.0,93.81
355.0,93.86
360.0,93.9
365.0,93.98
370.0,94.06
375.0,94.08
380.0,94.12
385.0,94.07
390.0,94.26
395.0,94.27
400.0,94.35
405.0,94.47
410.0,94.4
415.0,94.42
420.0,94.51
425.0,94.61
430.0,94.59
435.0,94.54
440.0,94.58
445.0,94.56
450.0,94.56
455.0,94.61
460.0,94.61
465.0,94.62
470.0,94.6
475.0,94.6
480.0,94.63
485.0,94.68
490.0,94.72
495.0,94.77
500.0,94.8
505.0,94.81
510.0,94.83
515.0,94.85
520.0,94.93
525.0,94.88
530.0,94.89
535.0,94.94
540.0,94.94
545.0,94.95
550.0,95.01
555.0,95.02
560.0,95.08
565.0,95.08
570.0,95.09
575.0,95.14
580.0,95.15
585.0,95.21
590.0,95.24
595.0,95.28
600.0,95.27
