time_s,object_temp_C
0, 32.50
1.516,32.37
2.601,32.17
3.685,32.47
4.770,32.35
5.855,32.35
6.940,32.33
8.024,32.33
9.109,32.35
10.194,32.21
11.279,32.67
12.364,32.39
13.448,32.41
14.532,32.41
15.617,32.49
16.702,32.45
17.787,32.53
18.872,32.47
19.957,32.49
21.041,32.53
22.125,32.49
23.209,32.55
24.294,32.59
25.378,32.55
26.463,32.47
27.548,32.47
28.633,32.63
29.718,32.89
30.802,32.75
31.886,32.53
32.971,32.49
34.055,32.41
35.139,32.61
36.224,32.61
37.308,32.63
38.392,32.67
39.476,32.63
40.575,32.61
41.658,32.67
42.742,32.61
43.827,32.61
44.917,32.69
46.001,32.69
47.085,32.75
48.169,32.63
49.252,32.75
50.336,32.71
51.419,32.75
52.503,32.77
53.587,32.71
54.671,32.69
55.755,32.81
56.840,32.81
57.923,32.75
59.007,32.77
60.091,32.75
61.175,32.75
