time_s,object_temp_C
1.279,33.93
2.363,33.91
3.447,33.99
4.532,33.87
5.617,33.91
6.701,33.93
7.786,33.91
8.870,33.91
9.955,33.95
11.040,33.93
12.125,33.91
13.210,33.99
14.307,33.95
15.391,34.01
16.476,34.03
17.561,34.07
18.646,34.07
19.731,34.13
20.815,34.13
21.900,34.03
22.984,34.09
24.069,34.13
25.153,34.09
26.238,34.09
27.323,34.15
28.407,34.17
29.491,34.03
30.587,34.13
31.672,34.15
32.757,34.17
33.842,34.17
34.926,34.17
36.010,34.21
37.094,34.23
38.179,34.21
39.264,34.23
40.363,34.23
41.446,34.25
42.530,34.23
43.614,34.29
44.698,34.21
45.781,34.23
46.876,34.25
47.959,34.25
49.042,34.29
50.125,34.21
51.209,34.29
52.293,34.21
53.377,34.25
54.461,34.15
55.544,34.21
56.627,34.21
57.711,34.21
58.795,34.17
59.880,34.21
60.964,34.25
62.048,34.15
63.143,34.17
64.228,34.21
65.312,34.15
66.395,34.13
67.479,34.17
68.563,34.09
69.647,34.13
70.731,34.13
71.815,34.15
72.899,34.13
73.983,34.09
75.066,34.09
76.150,34.07
77.234,34.09
78.318,34.15
79.456,34.09
80.556,34.13
81.640,34.17
82.724,34.17
83.808,34.21
84.891,34.23
85.975,34.21
87.059,34.21
88.143,34.21
89.227,34.25
90.310,34.25
91.394,34.25
92.478,34.25
93.562,34.23
94.657,34.23
95.740,34.23
96.824,34.25
97.908,34.21
98.992,34.23
100.077,34.23
101.161,34.23
102.246,34.17
103.330,34.23
104.414,34.23
105.498,34.21
106.582,34.21
107.666,34.25
108.749,34.25
109.834,34.23
110.930,34.23
112.014,34.31
113.098,34.25
114.182,34.29
115.265,34.29
116.348,34.29
117.432,34.31
118.530,34.31
119.614,34.31
120.700,34.37
121.791,34.37
122.875,32.75
123.959,28.85
125.044,26.79
126.128,25.31
